Author,Comment,Likes,PublishedAt
@o.t2001,Why did this song even blow up. Is it just cos it was used on MW2 trickshot montages,0,2024-10-14T21:38:44Z
@Nospan_Zer0,Edta cancion liquida a los mosquitos 💥💀,0,2024-10-14T16:54:15Z
@andersonsoto4193,Si tan solo pudiera regresar…. 🥲,0,2024-10-14T16:08:38Z
@ブックマン-u3p,名前も曲名も出てこなかったけど、たどり着いたわ,0,2024-10-14T13:19:38Z
@lordmasterking619,October 2024?,0,2024-10-14T12:32:24Z
@aggdax7682,Alguien del 2024?❤🎉,0,2024-10-14T07:30:51Z
@Max-ju6be,I remember when people thought dubstep would melt your brain if you listened to it too loud.,0,2024-10-14T01:07:46Z
@TREMMORCOR3,My birthday was EXACTLY one year before this came out,0,2024-10-14T00:56:58Z
@SuzanaNina,&quot;Suzana Nina&quot;,1,2024-10-14T00:25:51Z
@fillegarnement,spring break forever !,0,2024-10-13T23:41:26Z
@draxinsklounce,Someone said this song repels mosquitos 💀,0,2024-10-13T21:30:33Z
@Scott-zh4hx,legend has it the yes omg girl is still afraid of sprites,0,2024-10-13T16:37:27Z
@KiRa-fy6uq,Man this was crap back then. Its still crap.,0,2024-10-13T14:30:25Z
@getoveryourself2212,it was either Shuffling or Dubstep robo popping,0,2024-10-13T11:38:33Z
@juandanielgarciamontoya8365,Oct 13 2024,0,2024-10-13T09:42:22Z
@williamkn5238,Evitando los mosquitos,1,2024-10-13T01:36:37Z
@Wonderwise22,Enjoy your life now 🙌🏼 in the future you going to miss 2024 like you miss 2010 now 🙂,1,2024-10-12T20:32:46Z
@tanzim1860,spirits are nice😜,1,2024-10-12T20:28:26Z
@adamhodorowicz8202,skrilllex have you been in thailand ?,1,2024-10-12T16:44:53Z
@ronaldmarroquin1499,October 2024? Someone? ❤❤❤,7,2024-10-12T16:09:40Z
@MajX.,Ridge racer unbounded anyone? Only me? Okay :(,2,2024-10-12T15:01:35Z
@OMyStarz,How is this music? It&#39;s electricity amplified into random sounds.,1,2024-10-12T12:20:46Z
@1800LIVELEAKSUICIDE,The amount of ecstasy in my brain during this era was ridiculous.,2,2024-10-12T00:26:59Z
@sebbvell3426,Still here listening to this banger in 2024?,3,2024-10-11T23:18:08Z
@Kallem00,13 years later this hits hard,2,2024-10-11T21:02:11Z
@KensonHighwind,Good times....💔,1,2024-10-11T17:25:08Z
@Heyplayers,Fuck that shit my man cooked untimed song,0,2024-10-11T16:35:38Z
@Moonlightkitteh101,I love classical music,0,2024-10-10T23:28:47Z
@puchocrespo3386,2024 and this song lives in me. Is part of my youth. Is part of my grow. Is part of my best days of my life and at the same time the darkest. Is one of those that makes you remember where you were and where you at now. Time flies ppl!!,1,2024-10-10T19:27:08Z
@nikkiwallace2263,what is this monster energy drink from america store,1,2024-10-10T18:25:31Z
@Un_Seudonimo,"I&#39;m 69 years old and I still remember when my mother used to sing this song to me when I slept, oh wow! I remember it as if it had been yesterday, holy cow, how nostalgic this wonderful piece of music makes me feel.",1,2024-10-10T17:39:14Z
@GAMEMBXj6,2024 lov u  Skrillex ❤  .,1,2024-10-10T11:05:39Z
@JohnsonGwendolyn-v2z,Thomas John Williams Melissa Thompson Ruth,1,2024-10-10T04:44:27Z
@Wh1ffK1ng,This took me back to the before times,1,2024-10-10T01:49:06Z
@Gutterslime,I&#39;m here so I can show my kitten what skrillex sounds like and educate him,3,2024-10-09T23:48:01Z
@Uriahdoeskendama,What a tune,1,2024-10-09T23:01:04Z
@SubieNubie1528,2024??? Clock in <br>¡,1,2024-10-09T22:31:36Z
@TMTF2022,"<a href=""https://www.youtube.com/watch?v=WSeNSzJ2-Jw&amp;t=1"">0:01</a> Skrillex - Scary Monsters And Nice Sprites (feat: Daniela Marder, Jenna Ortega, Jamie Fires, Ell!e Gray, Emma Yang, and B3llamia. Music is made Possible by WNTE Global Music Group &amp; Media. Copyright ©️ 2010 WNTE Global Music Group &amp; Media A Division of NBC Universal All Rights Reserved.",2,2024-10-09T22:13:08Z
@th3gr81,This song is apparently mosquito repellent. I can hear why they hate it.,1,2024-10-09T20:57:42Z
@smoothblood,I came for the mosquitos,1,2024-10-09T19:01:31Z
@brittanywitcher,I still love your music,1,2024-10-09T08:35:38Z
@POCOSINBAD,"Man, listening to this whole warming up for my track races in high school was peak 😭",2,2024-10-09T05:01:55Z
@LitCGYboy,Who came here for nostalgia 🥲,5,2024-10-09T02:56:37Z
@RetroFurio,2010: damn my mate show me this good song!<br>2016: damn vineMEMZ just F*cked up vinesauce pc,1,2024-10-08T19:56:04Z
@ahmedtarek-ul1yj,"I remember listening to your music when i was a kid and i was so hyped , i got a tshirt that holds your logo and also a phone case that holds your logo your picture was my profile picture on my profile , i remember great memories while listening to you.",3,2024-10-08T15:04:20Z
@馬牛逼-s9p,這首歌可以讓蚊子沒有食慾,1,2024-10-08T14:03:18Z
@TheOmniDeus,Bro this was my shit!!!! It’s 2024 and it’s still fucking banger,1,2024-10-08T12:28:20Z
@EricMcguinness-dg2kd,🤯🤯🤯🤯🤯🤯,0,2024-10-08T01:39:24Z
@axlclockworker1364,Así que está canción repele mosquitos,1,2024-10-07T22:45:25Z
@videoandatv,"Saya dengar lagu ini sangat tidak disukai nyamuk, saat saya memutarnya nyamuk datang ke telinga saya dang berdengung..",1,2024-10-07T18:16:14Z
@DizzyWallin-v6e,Still here with the 2024 banger🔥🔥,0,2024-10-07T06:36:25Z
@AdrianRCastillo,I lost my virginity to this song. 🚬🗿,1,2024-10-07T03:12:41Z
@Shadow86TheGamer,"There&#39;s no way these times are coming back, this was peak, i&#39;m fkin crying.",0,2024-10-06T19:22:25Z
@samanthajoseph2184,"Just tryin&#39; to repel some mosquitoes, y&#39;all. Holy science, Batman, it&#39;s working!!!🤣🤣🤣",1,2024-10-05T22:53:10Z
@elvegetatriste9007,"vuelvo donde siempre fui feliz 2024 y sigo aquí , Dios me los bendiga",0,2024-10-05T15:56:52Z
@JB-jt6oq,When life wasn&#39;t fucked up yet,3,2024-10-05T13:30:18Z
@394952,I came here for the mosquitos😅,4,2024-10-05T06:34:43Z
@stanleymancio9989,IM JUST HERE FOR THE THEORY THEY TELL THAT THIS MUSIC CAN ENTIRELY ELIMINATE MOSQUITO,2,2024-10-05T06:32:40Z
@Jansennnnnnnnn,"OCTOBER,5,2024",0,2024-10-05T03:50:31Z
@THATGOTTKID,Just listened to this for the first time in like 7 years…. Still slams😅,0,2024-10-05T02:03:41Z
@privatename3621,"This track is like musical graffiti. It&#39;s what you&#39;d expect to hear if an 11 year old girl began recording sweet piano songs, but then her 15 year old brother used his laptop and some audio programs and samples to overwrite parts of her recordings with the audio equivalent of a &quot;jump scare&quot; and interweaved his younger sister&#39;s recorded voice screaming &quot;oh my god!&quot; after he kept provoking her. All just to piss off his little sister.",0,2024-10-05T02:00:44Z
@dawsoncombs812,Is it true this song repells mosquitos?,0,2024-10-05T00:32:34Z
@maidofmadness,Play this to mosquitoes and they won&#39;t come near...,0,2024-10-04T23:45:14Z
@raizerkeakopa1507,New here!<br>I hear that this song repels mosquitoes coz of its vibrations and stuff!<br>Zit true?!,2,2024-10-04T17:52:09Z
@Weirdnnerdy,This song repels mosquitos !,2,2024-10-04T15:35:18Z
@burgos632,Notalgia dam 2024 🤦🏽‍♂️🤦🏽‍♂️ i was like 15,0,2024-10-04T15:31:07Z
@teteahmar1953,MGK-OMG,0,2024-10-04T15:03:35Z
@niancarolina7318,When you play but always win,0,2024-10-04T10:11:45Z
@thatoneamanda,Who else is here in 2024 after hearing this song pisses off mosquitos ?,0,2024-10-04T09:07:37Z
@hyemily,This song apparently repels mosquitoes. You’re welcome <br>😂,1,2024-10-04T04:49:21Z
@elioteas,my friend want to play the discord game... i am just not about that right now...,0,2024-10-04T04:29:06Z
@kellogscoleman7076,Here for the mosquito repelant😂,0,2024-10-04T04:15:32Z
@ecto24434,Mosquito repellent song,1,2024-10-04T01:38:51Z
@miah914,Just here to test if this song actually repells mosquitoes 😂,1,2024-10-04T01:38:21Z
@seguelawrencedoering394,Genius mixing.,1,2024-10-03T22:34:50Z
@SpicyPisces3,Who&#39;s here because they saw that this song actually repels mosquitoes and prevents them from breeding?,0,2024-10-03T20:33:50Z
@vicenzisvenue,Just read that a study was done on the affects of music on mosquitoes and this song not only repels them but they will also not mate. 😂,0,2024-10-03T19:16:59Z
@garylaurente5880,Rest in peace mosquitoes.,0,2024-10-03T17:36:09Z
@frenceerlmarcelo742,They say this song repels mosquitoes.,1,2024-10-03T15:42:38Z
@Jakmeov,What a time to be alive so many good cartoons music jtags modded lobbies. This were the days.,0,2024-10-03T14:55:52Z
@arielvalentine3075,"Mmm, mosquito repellent nostalgia ✨",0,2024-10-03T12:20:28Z
@jeanprophete-f2l,This song supposedly scares away mosquitoes...look it up P.S. this is my new favorite song,0,2024-10-03T11:52:03Z
@SylviaElliott-c6v,Williams Ronald Johnson Sharon Rodriguez Eric,0,2024-10-03T08:23:03Z
@overcurry8033,"<a href=""https://www.youtube.com/watch?v=WSeNSzJ2-Jw&amp;t=200"">3:20</a> <b>This part hits me hard</b>",2,2024-10-03T00:57:26Z
@marthiousknowledge9,🔥 🔥 🔥,0,2024-10-02T22:38:55Z
@BarryMawonga,I am here for the mosquitoes,0,2024-10-02T19:50:38Z
@myuki_03,Messive,0,2024-10-02T15:41:21Z
@JianJiaHe,"I listened to this while I was 18, now I am 30 now...",0,2024-10-02T14:54:52Z
@TedyIrwansyah-k6v,im here cause @HIKAKIN,0,2024-10-02T09:34:39Z
@denarfernandorojassanchez5936,is amazing UWU,2,2024-10-02T01:30:16Z
@lalemon,you here just want to nostalgic,0,2024-10-01T13:46:19Z
@MackNuggets22,This is when I woke up,0,2024-10-01T12:26:06Z
@itserick9989,"Ah man , old times…",0,2024-10-01T03:24:04Z
@Kyle-n3x4p,Alex I&#39;m lacy security for for fun I need a camera for photography later,0,2024-09-30T21:01:53Z
@Kyle-n3x4p,It&#39;s partly cloudy in West Orlando 🎉,0,2024-09-30T21:00:41Z
@Jggppu6,"It may sound normie to Dubstep purists, and pretentious to brostep fans; but this type of slow Dubstep, with dirty bass and broken rhythms typical of the years 2010/2011 It was an aesthetically and technically innovative and interesting style, it had an experimental touch, something complex and slightly aggressive, it still retained the rhythms of classic Dubstep, but it already had the bases of the sound that brostep would have in the future, although brostep would become less melodic, colder, with more predictable rhythms and focused on the energy of rave, therefore more generic.",1,2024-09-30T17:22:57Z
@Mr.AkaratornKiansion,❤😢,0,2024-09-30T13:58:43Z
@Axorbin-by1bp,Anti mosquito song,0,2024-09-29T22:49:11Z
@combat-killer4682,Anyone here 2025?😊,0,2024-09-29T22:32:08Z
@6e3bIM9HHbIuu,"<a href=""https://www.youtube.com/watch?v=WSeNSzJ2-Jw&amp;t=198"">3:18</a> - <a href=""https://www.youtube.com/watch?v=WSeNSzJ2-Jw&amp;t=245"">4:05</a> эта часть всегда заставляет меня плакать.",0,2024-09-29T15:36:35Z
